id_venta,fecha,cliente,producto,categoria,cantidad,precio_unitario,descuento,total,ciudad,metodo_pago,canal,vendedor,estado
1,2025-11-20,Cliente_010,Audifonos,Impresion,7,792.45,0.13,4826.02,Cali,Transferencia,Call_Center,Vendedor_046,Pendiente
2,2025-10-05,Cliente_005,Audifonos,Telefonia,8,740.86,0.19,4800.77,Bucaramanga,Efectivo,Call_Center,Vendedor_028,Completada
3,2025-08-14,Cliente_009,Audifonos,Computadores,6,445.45,0.14,2298.52,Barranquilla,Tarjeta_Debito,App,Vendedor_038,Cancelada
4,2025-12-15,Cliente_007,Webcam,Telefonia,5,175.78,0.19,711.91,Bucaramanga,Efectivo,Web,Vendedor_019,Pendiente
5,2025-12-30,Cliente_010,Impresora,Perifericos,9,1850.6,0.15,14157.09,Bucaramanga,Tarjeta_Credito,Call_Center,Vendedor_044,Completada
6,2025-05-01,Cliente_006,Webcam,Perifericos,3,1319.3,0.13,3443.37,Cartagena,Tarjeta_Credito,Call_Center,Vendedor_026,Cancelada
7,2025-11-02,Cliente_003,Impresora,Computadores,7,529.87,0.05,3523.64,Bucaramanga,Efectivo,Web,Vendedor_028,Cancelada
8,2025-12-27,Cliente_007,Tablet,Telefonia,3,1581.81,0.09,4318.34,Cali,Transferencia,Web,Vendedor_046,Completada
9,2025-12-09,Cliente_005,Laptop,Perifericos,1,287.5,0.17,238.62,Bucaramanga,Tarjeta_Debito,Call_Center,Vendedor_025,Pendiente
10,2025-07-25,Cliente_001,Laptop,Almacenamiento,5,1664.35,0.02,8155.31,Barranquilla,Efectivo,Tienda,Vendedor_025,Cancelada
11,2025-11-22,Cliente_001,Tablet,Perifericos,7,1457.53,0.02,9998.66,Cartagena,Efectivo,Web,Vendedor_037,Completada
12,2025-08-03,Cliente_006,Impresora,Computadores,6,1439.35,0.17,7167.96,Cartagena,Transferencia,Call_Center,Vendedor_015,Cancelada
13,2025-11-08,Cliente_005,Mouse,Perifericos,1,1961.03,0.08,1804.15,Bogota,Tarjeta_Debito,App,Vendedor_050,Pendiente
14,2025-04-01,Cliente_007,Laptop,Computadores,2,46.07,0.05,87.53,Cartagena,Efectivo,App,Vendedor_018,Cancelada
15,2025-02-04,Cliente_006,Monitor,Impresion,1,1395.84,0.03,1353.96,Bucaramanga,Transferencia,Web,Vendedor_002,Pendiente
16,2025-05-22,Cliente_002,Celular,Computadores,3,541.15,0.13,1412.4,Bogota,Tarjeta_Credito,Call_Center,Vendedor_008,Pendiente
17,2025-08-01,Cliente_001,Laptop,Impresion,6,1312.52,0.13,6851.35,Manizales,Transferencia,Call_Center,Vendedor_033,Cancelada
18,2025-01-01,Cliente_008,Celular,Almacenamiento,8,298.62,0.06,2245.62,Pereira,Efectivo,Call_Center,Vendedor_007,Completada
19,2025-01-25,Cliente_010,Mouse,Perifericos,8,376.48,0.06,2831.13,Bucaramanga,Transferencia,Web,Vendedor_031,Pendiente
20,2025-03-09,Cliente_009,Laptop,Almacenamiento,5,228.82,0.04,1098.34,Barranquilla,Transferencia,Call_Center,Vendedor_017,Cancelada
21,2025-07-16,Cliente_002,Impresora,Almacenamiento,6,1541.61,0.04,8879.67,Bogota,Efectivo,App,Vendedor_037,Pendiente
22,2025-03-10,Cliente_002,Tablet,Almacenamiento,1,1663.23,0.19,1347.22,Medellin,Transferencia,Web,Vendedor_020,Cancelada
23,2025-04-01,Cliente_002,Webcam,Perifericos,4,920.19,0.04,3533.53,Barranquilla,Efectivo,Call_Center,Vendedor_034,Cancelada
